color,count
#6B8A96,1
#B03929,1
#2A3C78,1
#D60619,1
#0B5027,1
#F6C42B,1
#B5B5D5,1
#BC9038,1
#D4D4D4,1
#447C34,1
#800030,1
#FCDC3C,1
#507830,1
#7C3C74,1
#F0DCC0,1
#A83000,1
#F8ECE0,1
#407C34,1
#181818,1
#2C7854,1
#382074,1
#FC3800,1
#343494,1
#347800,1
#304048,1
#2C5C44,1
#347400,1
#00781C,1
#DFDFDF,1
#00003B,1
#2B3F84,1
#DFAF00,1
#001B00,1
#940094,1
#1C002C,1
#B43448,1
#5A6E90,1
#95765B,1
#487731,1
#CB15AB,1
#1B835D,1
#BB62CE,1
#706420,1
#A49468,1
#505444,1
#A42430,1
#886C3C,1
#F0D0B4,1
#846838,1
#145024,1
#A40800,1
#D8E8E8,1
#98B480,1
#6098B4,1
#303094,1
#A86C1C,1
#608CA4,1
#88609C,1
#644C60,1
#3C68AC,1
#F4E0C8,1
#247078,1
#0064AC,1
#5C748C,1
#80252E,1
#7D776B,1
#111214,1
#262753,1
#FFFFF0,1
#2A230C,1
#452700,1
#9E411F,1
#061D37,1
#004F15,1
#6AA28C,1
#A0AFE7,1
#E8091A,1
#203870,1
#7A4178,1
#379313,1
#FAF82D,1
#C4B888,1
#184458,1
#608C9C,1
#DA412D,1
#CCC098,1
#B0A458,1
#3C3C64,1
#405068,1
#2F4F2F,1
#DEB887,1
#542050,1
#B45C6C,1
#006080,1
#48788C,1
#FFE1FF,1
#885C00,1
#5C4494,1
#546488,1
#BCA010,1
#88A8B8,1
#B0DEDF,1
#75A481,1
#AA3746,1
#B4BEE6,1
#645541,1
#A5CDB4,1
#41418C,1
#184C00,1
#87CEEB,1
#288CC8,1
#E6B426,1
#000038,1
#6C0800,1
#A08C50,1
#D85C28,1
#1C4C60,1
#1044C0,1
#787CA8,1
#000054,1
#737373,1
#445080,1
#448C28,1
#C8D8DC,1
#C83000,1
#2F0D0A,1
#A43024,1
#906C00,1
#C8A400,1
#F8E4BC,1
#DC4038,1
#ADBEE9,1
#FC8100,1
#C4AC88,1
#D02090,1
#669999,1
#4A4A4A,1
#F00000,1
#EFE801,1
#030303,1
#4888BC,1
#34349C,1
#004810,1
#688898,1
#20943C,1
#743838,1
#8C5C64,1
#481C40,1
#484848,1
#54204C,1
#483824,1
#E4CCA4,1
#2C3C44,1
#083C60,1
#B09400,1
#BCA878,1
#20001C,1
#206058,1
#700014,1
#2C5078,1
#7884A0,1
#B8A87C,1
#D8CCE0,1
#E0B000,1
#4C5484,1
#88227E,1
#8FAEC3,1
#CD3731,1
#426581,1
#2D3743,1
#EEE9E2,1
#D0B480,1
#D0D0A8,1
#447C38,1
#4C2874,1
#00542C,1
#D8A028,1
#00611C,1
#FCFFF0,1
#CC99FF,1
#C4A000,1
#7EC0EE,1
#009C24,1
#5064A0,1
#3F0FFE,1
